W,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
1,5/8/2022,Crystal Palace,Arsenal,0,2,A
1,6/8/2022,Fulham,Liverpool,2,2,D
1,6/8/2022,Bournemouth,Aston Villa,2,0,H
1,6/8/2022,Leeds,Wolves,2,1,H
1,6/8/2022,Newcastle,Nottingham,2,0,H
1,6/8/2022,Tottenham,Southampton,4,1,H
1,6/8/2022,Everton,Chelsea,0,1,A
1,7/8/2022,Leicester,Brentford,2,2,D
1,7/8/2022,Man United,Brighton,1,2,A
1,7/8/2022,West Ham,Man City,0,2,A
2,13/08/2022,Aston Villa,Everton,2,1,H
2,13/08/2022,Arsenal,Leicester,4,2,H
2,13/08/2022,Brighton,Newcastle,0,0,D
2,13/08/2022,Man City,Bournemouth,4,0,H
2,13/08/2022,Southampton,Leeds,2,2,D
2,13/08/2022,Wolves,Fulham,0,0,D
2,13/08/2022,Brentford,Man United,4,0,H
2,14/08/2022,Nottingham,West Ham,1,0,H
2,14/08/2022,Chelsea,Tottenham,2,2,D
2,15/08/2022,Liverpool,Crystal Palace,1,1,D
3,20/08/2022,Tottenham,Wolves,1,0,H
3,20/08/2022,Crystal Palace,Aston Villa,3,1,H
3,20/08/2022,Everton,Nottingham,1,1,D
3,20/08/2022,Fulham,Brentford,3,2,H
3,20/08/2022,Leicester,Southampton,1,2,A
3,20/08/2022,Bournemouth,Arsenal,0,3,A
3,21/08/2022,Leeds,Chelsea,3,0,H
3,21/08/2022,West Ham,Brighton,0,2,A
3,21/08/2022,Newcastle,Man City,3,3,D
3,22/08/2022,Man United,Liverpool,2,1,H
4,27/08/2022,Southampton,Man United,0,1,A
4,27/08/2022,Brentford,Everton,1,1,D
4,27/08/2022,Brighton,Leeds,1,0,H
4,27/08/2022,Chelsea,Leicester,2,1,H
4,27/08/2022,Liverpool,Bournemouth,9,0,H
4,27/08/2022,Man City,Crystal Palace,4,2,H
4,27/08/2022,Arsenal,Fulham,2,1,H
4,28/08/2022,Aston Villa,West Ham,0,1,A
4,28/08/2022,Wolves,Newcastle,1,1,D
4,28/08/2022,Nottingham,Tottenham,0,2,A
5,30/08/2022,Crystal Palace,Brentford,1,1,D
5,30/08/2022,Fulham,Brighton,2,1,H
5,30/08/2022,Southampton,Chelsea,2,1,H
5,30/08/2022,Leeds,Everton,1,1,D
5,31/08/2022,Arsenal,Aston Villa,2,1,H
5,31/08/2022,Bournemouth,Wolves,0,0,D
5,31/08/2022,Man City,Nottingham,6,0,H
5,31/08/2022,West Ham,Tottenham,1,1,D
5,31/08/2022,Liverpool,Newcastle,2,1,H
5,1/9/2022,Leicester,Man United,0,1,A
6,3/9/2022,Everton,Liverpool,0,0,D
6,3/9/2022,Brentford,Leeds,5,2,H
6,3/9/2022,Chelsea,West Ham,2,1,H
6,3/9/2022,Newcastle,Crystal Palace,0,0,D
6,3/9/2022,Nottingham,Bournemouth,2,3,A
6,3/9/2022,Tottenham,Fulham,2,1,H
6,3/9/2022,Wolves,Southampton,1,0,H
6,3/9/2022,Aston Villa,Man City,1,1,D
6,4/9/2022,Brighton,Leicester,5,2,H
6,4/9/2022,Man United,Arsenal,3,1,H
8,16/09/2022,Aston Villa,Southampton,1,0,H
8,16/09/2022,Nottingham,Fulham,2,3,A
8,17/09/2022,Wolves,Man City,0,3,A
8,17/09/2022,Newcastle,Bournemouth,1,1,D
8,17/09/2022,Tottenham,Leicester,6,2,H
8,18/09/2022,Brentford,Arsenal,0,3,A
8,18/09/2022,Everton,West Ham,1,0,H
9,1/10/2022,Arsenal,Tottenham,3,1,H
9,1/10/2022,Bournemouth,Brentford,0,0,D
9,1/10/2022,Crystal Palace,Chelsea,1,2,A
9,1/10/2022,Fulham,Newcastle,1,4,A
9,1/10/2022,Liverpool,Brighton,3,3,D
9,1/10/2022,Southampton,Everton,1,2,A
9,1/10/2022,West Ham,Wolves,2,0,H
9,2/10/2022,Man City,Man United,6,3,H
9,2/10/2022,Leeds,Aston Villa,0,0,D
9,3/10/2022,Leicester,Nottingham,4,0,H
10,8/10/2022,Bournemouth,Leicester,2,1,H
10,8/10/2022,Chelsea,Wolves,3,0,H
10,8/10/2022,Man City,Southampton,4,0,H
10,8/10/2022,Newcastle,Brentford,5,1,H
10,8/10/2022,Brighton,Tottenham,0,1,A
10,9/10/2022,Crystal Palace,Leeds,2,1,H
10,9/10/2022,West Ham,Fulham,3,1,H
10,9/10/2022,Arsenal,Liverpool,3,2,H
10,9/10/2022,Everton,Man United,1,2,A
10,10/10/2022,Nottingham,Aston Villa,1,1,D
11,14/10/2022,Brentford,Brighton,2,0,H
11,15/10/2022,Leicester,Crystal Palace,0,0,D
11,15/10/2022,Fulham,Bournemouth,2,2,D
11,15/10/2022,Wolves,Nottingham,1,0,H
11,15/10/2022,Tottenham,Everton,2,0,H
11,16/10/2022,Aston Villa,Chelsea,0,2,A
11,16/10/2022,Leeds,Arsenal,0,1,A
11,16/10/2022,Man United,Newcastle,0,0,D
11,16/10/2022,Southampton,West Ham,1,1,D
11,16/10/2022,Liverpool,Man City,1,0,H
12,18/10/2022,Brighton,Nottingham,0,0,D
12,18/10/2022,Crystal Palace,Wolves,2,1,H
12,19/10/2022,Bournemouth,Southampton,0,1,A
12,19/10/2022,Brentford,Chelsea,0,0,D
